cue,defn
381. George Canning (1770-1829),"Led the House of Commons in Parliament. Cut Great Britain from the Holy Alliance in 1823. First leader to recognize the independence of the Spanish colonies in America and support the Monroe Doctrine
"382. Monroe Doctrine: origins, provisions
383. Era of Good Feelings,"A name for President Monroes two terms
384. Chief Justice John Marshall: decision,"Justice Marshall was a Federalist whose decisions on the U.S. Supreme Court promoted federal power over state power and established the judiciary as a branch of government equal to the legislative and executive. In Marbury v. Madison he established the Supreme Courts power of judicial review
"385. Missouri: Tallmadge Amendment, Thomas Amendment"
"386. Missouri Compromise, provisions"
"387. Growth of industry in New England, textiles"
388. Samuel Slater (1768-1835),"When he emigrated from England to America in the 1790s
"389. Robert Fulton, Clermont"
"390. Eli Whitney: cotton gin (short for ""engine"")","1798 - He developed the cotton gin
391. Interchangeable parts,"1799-1800 - Eli Whitney developed a manufacturing system which uses standardized parts which are all identical and thus
"392. Boston Associates, Lowell
393. Daniel Webster (1782-1852),"A great American orator. He gave several important speeches
394. National Road (also called Cumberland Road),"The first highway built by the federal government. Constructed during 1825-1850
395. Internal improvements,"The program for building roads
"396. Erie Canal, Dewitt Clinton"
"397. New states, 1815-1840"
"398. Federal governments land policy: 1796, 1800
399. New Englands opposition to cheap land,New England was opposed to the federal governments liberal land policy because they did not feel that their region was benefitting from the money made off the land sales.
"400. John Quincy Adams as Sec. of State: Florida, Monroe Doctrine"
"401. Election of 1824: popular vote, electoral vote
"402. ""Corrupt Bargain""","The charge make by Jacksonians in 1825 that Clay had supported John Quincy Adams in the House presidential vote in return for the office of Secretary of State. Clay knew he could not win
403. Panama Conference,"Summoned by the Venezuelan revolutionary leader
404. Tariff of Abominations,"1828 - Also called Tariff of 1828
"405. Vice-President Calhoun: South Carolina Exposition and protest, nullification"
406. Jacksonian Revolution of 1828,"When Andrew Jackson was elected president from humble beginnings
407. Age of the Common Man,"Jackson's presidency was the called the Age of the Common Man. He felt that government should be run by common people - a democracy based on self-sufficient middle class with ideas formed by liberal education and a free press. All white men could now vote
408. Jacksonian Democracy: characteristics,"The Jacksonian era (1829-1841) included many reforms: free public schools
"409. Franchise extended, spoils system"
410. National Republicans,"After the 1824 election
"411. Caucus System, Nation Nominating Conventions"
412. Kitchen Cabinet,"A small group of Jackson's friends and advisors who were especially influential in the first years of his presidency. Jackson conferred with them instead of his regular cabinet. Many people didn't like Jackson ignoring official procedures
"413. Cherokee Indian removal, ""Trail of Tears"""
414. Worchester v. Georgia; Cherokee Nation v. Georgia,"Worchester v. Georgia: 1832 - The Supreme Court decided Georgia had no jurisdiction over Cherokee reservations. Georgia refused to enforce decision and President Jackson didn't support the Court. Cherokee Nation v. Georgia: 1831 - The Supreme Court ruled that Indians weren't independent nations but dependent domestic nations which could be regulated by the federal government. From then until 1871
"415. Whigs: origins, policies"
416. Maysville Road Veto,"1830 - The Maysville Road Bill proposed building a road in Kentucky (Clay's state) at federal expense. Jackson vetoed it because he didn't like Clay
"417. Election of 1832, Anti-Masonic Party"
"418. Clay, Bank Recharter Bill
419. Veto message,"1832 - Jackson
"420. Jackson's removal of deposits, Roger B. Taney
421. Chestnut Street to Wall,Name change of the street in New York in 1800s.
"422. Foote Resolution, Webster-Hayne debate"
423. Peggy Eaton Affair,"Social scandal (1829-1831) - John Eaton
424. Calhoun resigns as vice-president,"1832 - Calhoun
425. South opposes protective tariffs (Tariff of Abominations),"The North wanted tariffs that protected new industries
"426. Nullification crisis, South Carolina Exposition and Protest"
427. Jefferson Day Dinner: toasts and quotes,"April 13
428. Clay: Compromise Tariff of 1833,Henry Clay devised the Compromise Tariff of 1833 which gradually reduced the rates levied under the Tariffs of 1828 and 1832. It caused South Carolina to withdraw the ordinance nullifying the Tariffs of 1828 and 1832. Both protectionists and anti-protectionists accepted the compromise.
429. Force Bill,"1833 - The Force Bill authorized President Jackson to use the army and navy to collect duties on the Tariffs of 1828 and 1832. South Carolina's ordinance of nullification had declared these tariffs null and void
430. Calhoun splits with Jackson,"1832 - Calhoun resigned as vice-president when his views on states' rights were disputed by Jackson. Calhoun wanted each section of the country to share federal power equally
"431. Martin Van Buren, the Albany Regency"
432. Specie Circular,"1863 - The Specie Circular
"433. Charles River Bridge Decision, Chief Justice Roger B. Taney
434. Panic of 1837,"When Jackson was president
435. Dorr's Rebellion,"In 1841
436. Independent Treasury Plan,Idea that federal government should have its own treasury; never put into practice.
"437. Election of 1840: candidates, characteristics"
438. Rise of the Second Party System,"Since the 1840's
"439. Pre-emption Act, 1841"
440. Tariff of 1842,"A protective tariff signed by President John Tyler
441. Transcendentalism,"A philosophy pioneered by Ralph Waldo Emerson in the 1830's and 1840's
442. Transcendentalists,"Believed in Transcendentalism
443. Ralph Waldo Emerson (1803-1882),"Essayist
"444. Henry David Thoreau, Walden (1817-1862)
445. Orestes Brownson (1803-1876),"Presbyterian layman
"446. Margaret Fuller (1810-1815), The Dial"
"447. James Fenimore Cooper (1789-1851), The Spy
"448. James Fenimore Cooper, Last of the Mohicans"
"449. Herman Melville (1819-1891), Moby Dick"
"450. Nathaniel Hawthorne (1804-1864), The Scarlet Letter"
451. Edgar Allen Poe (1809-1849),"Author who wrote many poems and short stories including ""The Raven
452. Washington Irving (1783-1859),"Author
453. Henry Wadsworth Longfellow (1807-1882),Internationally recognized poet. Emphasized the value of tradition and the impact of the past on the present.
"454. Walt Whitman (1819-1892), Leaves of Grass"
455. Hudson River School of Art,"In about 1825
"456. Alexis de Tocqueville, Democracy in America"
"457. Millennialism, Millerites"
"458. ""The Burned-Over District""","Term applied to the region of western New York along the Erie Canal
459. Charles G. Finney (1792-1875),"An immensely successful revivalist of the 1800's. He helped establish the ""Oberlin Theology"". His emphasis on ""disinterested benevolence"" helped shape the main charitable enterprises of the time."
460. Mormons: Joseph Smith (1805-1844),"Founded Mormonism in New York in 1830 with the guidance of an angel. In 1843
"461. Brigham Young, Great Salt Lake
462. Brook Farm,"An experiment in Utopian socialism
463. New Harmony,"A utopian settlement in Indiana lasting from 1825 to 1827. It had 1
464. Oneida Community,"A group of socio-religious perfectionists who lived in New York. Practiced polygamy
465. Shakers,"A millennial group who believed in both Jesus and a mystic named Ann Lee. Since they were celibate and could only increase their numbers through recruitment and conversion
466. Amana Community,A German religious sect set up this community with communist overtones. Still in existence.
467. Lyceum Movement,"Developed in the 1800's in response to growing interest in higher education. Associations were formed in nearly every state to give lectures
"468. Some reforms successful, some not
"469. Dorothea Dix, treatment of the insane"
470. Rise of labor leaders,"During the 1800's
471. National Trade Union,Unions formed by groups of skilled craftsmen.
472. Commonwealth v. Hunt,1842 - Case heard by the Massachusetts supreme court. The case was the first judgement in the U.S. that recognized that the conspiracy law is inapplicable to unions and that strikes for a closed shop are legal. Also decided that unions are not responsible for the illegal acts of their members.
473. Criminal Conspiracy Laws and early unions,"For a time in the 1700's and 1800's
"474. Oberlin, 1833; Mt. Holyoke
"475. Public education, Horace Mann"
476. American Temperance Union,The flagship of the temperance movement in the 1800's. Opposed alcohol.
"477. ""Ten Nights in a Bar-Room,"" Timothy Shay Arthur"
"478. Maine Law, Neal Dow"
"479. Irish, German immigration"
480. Nativism,An anti-foreign feeling that arose in the 1840's and 1850's in response to the influx of Irish and German Catholics.
"481. Samuel F.B. Morse, Imminent Dangers to the Free Institutions of the U.S. Through Foreign Immigration
"482. Women, their rights
483. Lucretia Mott (1803-1880),"An early feminist
484. Elizabeth Cady Stanton,"A pioneer in the women's suffrage movement
485. Seneca Falls,"July
486. Emma Willard (1787-1870),"Early supporter of women's education
487. Catherine Beecher (1800-1878),"A writer and lecturer
"488. ""Cult of True Womanhood"": piety, domesticity
"489. Women's movement, like others
490. American Peace Society,"Founded in 1828 by William Laddit. Formally condemned all wars
"491. Prison reform: Auburn system, Pennsylvania system"
492. Supreme Court: Marbury v. Madison,"1803 - The case arose out of Jeffersons refusal to deliver the commissions to the judges appointed by Adams Midnight Appointments. One of the appointees
493. Supreme Court: Fletcher v. Peck,"1810 - A state had tried to revoke a land grant on the grounds that it had been obtained by corruption. The Court ruled that a state cannot arbitrarily interfere with a persons property rights. Since the land grant wass a legal contract
494. Supreme Court: Martin v. Hunters Lessee,1816 - This case upheld the right of the Supreme Court to review the decisions of state courts.
495. Supreme Court: Darmouth College v. Woodward,1819 - This decision declared private corporation charters to be contracts and immune form impairment by states' legislative action. It freed corporations from the states which created them.
496. Supreme Court: McCulloch v. Maryland,"1819 - This decision upheld the power of Congress to charter a bank as a government agency
497. Supreme Court: Cohens v. Virginia,1821 - This case upheld the Supreme Court's jurisdiction to review a state court's decision where the case involved breaking federal laws.
498. Supreme Court: Gibbons v. Ogden,1824 - This case ruled that only the federal government has authority over interstate commerce.
499. Supreme Court: Cherokee Nation v. Georgia,"1831 - Supreme Court refused to hear a suit filed by the Cherokee Nation against a Georgia law abolishing tribal legislature. Court said Indians were not foreign nations
500. Supreme Court: Worchester v. Georgia,"1832 - Expanded tribal authority by declaring tribes sovereign entities
501. Supreme Court: River Bridge v. Warren Bridge,"1837 - Supreme Court ruled that a charter granted by a state to a company cannot work to the disadvantage of the public. The Charles River Bridge Company protested when the Warren Bridge Company was authorized in 1828 to build a free bridge where it had been chartered to operate a toll bridge in 1785. The court ruled that the Charles River Company was not granted a monopoly right in their charter
502. Supreme Court: Commonwealth v. Hunt,1842 - Case heard by the Massachusetts supreme court. The case was the first judgement in the U.S. that recognized that the conspiracy law is inapplicable to unions and that strikes for a closed shop are legal. Also decided that unions are not responsible for the illegal acts of their members.
503. Great American Desert,"Region between the Missouri River and the Rocky Mountains. Vast domain became accessible to Americans wishing to settle there. This region was called the ""Great American Desert"" in atlases published between 1820 and 1850
504. Manifest Destiny,Phrase commonly used in the 1840's and 1850's. It expressed the inevitableness of continued expansion of the U.S. to the Pacific.
505. Horace Greeley (1811-1873),"Founder and editor of the New York Tribune. He popularized the saying ""Go west
506. Senator Thomas Hart Benton (1782-1858),"A zealous supporter of western interests
507. Stephen Austin (1793-1836),"In 1822
508. Texas War for Independence,"After a few skirmishes with Mexican soldiers in 1835
509. Santa Ana,"As dictator of Mexico
510. Alamo,"A Spanish mission converted into a fort
511. San Jacinto,"A surprise attack by Texas forces on Santa Ana's camp on April 21
512. Sam Houston (1793-1863),"Former Governor of Tennessee and an adopted member of the Cherokee Indian tribe
513. Republic of Texas,"Created March
"514. Annexation of Texas, Joint Resolution under President Tyler"
515. Election of 1844: Candidates,James K. Polk - Democrat. Henry Clay - Whig. James G. Birney - Liberty Party.
516. Election of 1844: Issues,Manifest Destiny Issues: The annexation of Texas and the reoccupation of Oregon. Tariff reform.
517. Election of 1844: Third party's impact,"Third party's impact was significant. James G. Birney drew enough votes away from Clay to give Polk New York
518. Election 1844: Liberty Party,The first abolitionist party - believed in ending slavery.
519. Reoccupation of Texas and reannexation of Oregon,"Texas was annexed by Polk in 1845. Oregon was explored by Lewis and Clark from 1804 to 1806 and American fur traders set up there
520. 54º40' or Fight!,"An aggressive slogan adopted in the Oregon boundary dispute
521. James K. Polk,President known for promoting Manifest Destiny.
522. Slidell mission to Mexico,"Appointed minister to Mexico in 1845
"523. Rio Grande, Nueces River
524. General Zachary Taylor,"Commander of the Army of Occupation on the Texas border. On President Polks orders
"525. Mexican War: causes, results"
526. Spot Resolutions,"Congressman Abraham Lincoln supported a proposition to find the exact spot where American troops were fired upon
527. Stephen Kearny,"Commander of the Army of the West in the Mexican War
528. John C. Fremont,"Civil governor of California
529. General Winfield Scott,Led the U.S. forces' march on Mexico City during the Mexican War. He took the city and ended the war.
530. Nicholas Trist,Sent as a special envoy by President Polk to Mexico City in 1847 to negotiate an end to the Mexican War.
531. Treaty of Guadelupe Hildago provisions,"This treaty required Mexico to cede the American Southwest
532. All Mexico Movement,Benito Juarez overthrew Mexican dictator Santa Ana. Mexico began blocking American immigration (Mexico for Mexicans only).
533. Mexican Cession,"Some of Mexico's territory was added to the U.S. after the Mexican War: Arizona
534. Webster-Ashburton Treaty,1842 - Established Maine's northern border and the boundaries of the Great Lake states.
535. Carolina and Creole Affairs,"A group of Canadian malcontents determined to free Canada from British rule made looting forays into Canada from an island being supplied by a ship from Carolina. The Canadians burned the vessel and killed an American on board. The Creole Affair involved slaves who mutinied and killed a crewman
536. Aroostook War,Maine lumberjacks camped along the Aroostook Rive in Maine in 1839 tried to oust Canadian rivals. Militia were called in from both sides until the Webster Ashburn - Treaty was signed. Took place in disputed territory.
537. John Jacob Astor (1763-1848),"His American fur company (est. 1808) rapidly became the dominant fur trading company in America. Helped finance the War of 1812. First millionaire in America (in cash
538. Oregon Fever,1842 - Many Eastern and Midwestern farmers and city dwellers were dissatisfied with their lives and began moving up the Oregon trail to the Willamette Valley. This free land was widely publicized.
539. Willamette Valley,The spot where many settlers travelling along the Oregon trailed stopped.
540. Oregon Territory,"The territory comprised what arenow the states of Oregon and Washington
541. 49th Parallel,The Oregon Treaty of 1846 established an U.S./Canadian (British) border along this parallel. The boundary along the 49th parallel extended from the Rocky Mountains to the Pacific Ocean.
"542. Election of 1848: Cass, Taylor"
543. Wilmot Proviso,"When President Polk submitted his Appropriations Bill of 1846 requesting Congress' approval of the $2 million indemnity to be paid to Mexico under the Treaty of Guadelupe Hidalgo
544. Gadsen Purchase,"1853 - After the Treaty of Guadelupe Hidalgowas signed
545. Hegemony,Domination or leadership - especially the predominant influence of one state over others. Northern states seemed to be dominating Southern states.
"546. ""Transportation Revolution""","By the 1850s railroad transportation was fairly cheap and widespread. It allowed goods to be moved in large quantities over long distances
547. Commonwealth v. Hunt,1842 - Case heard by the Massachusetts supreme court. The case was the first judgement in the U.S. that recognized that the conspiracy law is inapplicable to unions and that strikes for a closed shop are legal. Also decided that unions are not responsible for the illegal acts of their members.
548. Boston Associates,"The Boston Associates were a group of Boston businessmen who built the first power loom. In 1814 in Waltham
549. Lowell Factory,"Francis Cabot Lowell established a factory in 1814 at Waltham
550. Factory girls,"Lowell opened a chaperoned boarding house for the girls who worked in his factory. He hired girls because they could do the job as well as men (in textiles
"551. Cyrus McCormic, mechanical reaper"
552. Elias Howe (1819-1869),"Invented the sewing machine in 1846
553. Ten-Hour Movement,Labor unions advocated a 10-hour workday. Previously workers had worked from sun up to sundown.
554. Clipper ships,"Long
555. Cyrus Field (1819-1892),"An American financier who backed the first telegraph cable across the Atlantic. After four failed attempts in 1857
"556. Robert Fulton, steamships"
"557. Samuel F.B. Morse, telegraph"
558. Walker Tariff,"1846 - Sponsored by Polk's Secretary of Treasury
"559. Independent Treasury System, Van Buren and Polk"
560. American Colonization Society,"Formed in 1817
561. Abolitionism,The militant effort to do away with slavery. It had its roots in the North in the 1700s. It became a major issue in the 1830s and dominated politics after 1840. Congress became a battleground between pro and anti-slavery forces from the 1830's to the Civil War.
562. Sectionalism,"Different parts of the country developing unique and separate cultures (as the North
563. William Lloyd Garrison (1805-1879),"A militant abolitionist
564. The Liberator,"A militantly abolitionist weekly
565. American Anti-slavery Society,"Formed in 1833
566. Theodore Weld (1802-1895),"Weld was devoted to the abolitionism movement. He advised the breakaway anti-slavery Whigs in Congress and his anonymous tract ""American Slavery as It Is"" (1839) was the inspiration for Uncle Tom's Cabin."
567. Theodore Parker (1810-1860),"A leading transcendentalist radical
568. The Grimke sisters,"Angelina and Sarah Grimke wrote and lectured vigorously on reform causes such as prison reform
569. Elijah Lovejoy (1802-1837),An abolitionist and editor. The press he used was attacked four time and Lovejoy was killed defending it. His death was an example of violence against abolitionists.
570. Wendell Phillips,"An orator and associate of Garrison
571. Nat Turner's Insurrection,"1831 - Slave uprising. A group of 60 slaves led by Nat Turner
"572. David Walker (1785-1830), ""Walker's Appeal"""
573. Sojourner Truth,"Name used by Isabelle Baumfree
574. Gabriel Prosser (1775-1800),"A slave
575. Denmark Vesey,"A mulatto who inspired a group of slaves to seize Charleston
576. Frederick Douglass (1817-1895),"A self-educated slave who escaped in 1838
"577. Tredegar Iron Works, Richmond
578. Mountain Whites in the South,"Rednecks. Usually poor
579. Prigg v. Pennsylvania,"1842 - A slave had escaped from Maryland to Pennsylvania
"580. ""King Cotton""","Expression used by Southern authors and orators before the Civil War to indicate the economic dominance of the Southern cotton industry
581. Free Soil Party,"Formed in 1847 - 1848
582. John Sutter (1803-1880),"A German immigrant who was instrumental in the early settlement of Califonria by Americans
583. Forty-Niners,Easterners who flocked to California after the discovery of gold there. They established claims all over northern California and overwhelmed the existing government. Arrived in 1849.
584. California applies for admission as a state,"Californians were so eager to join the union that they created and ratified a constitution and elected a government before receiving approval from Congress. California was split down the middle by the Missouri Compromise line
"585. Compromise of 1850: provisions, impact"
586. Fugitive Slave Law,"Enacted by Congress in 1793 and 1850
587. Anthony Burns (1834-1862),"A slave who fled from Virginia to Boston in 1854. Attempts to return him led to unrest in Boston. He was successfully returned at a cost $100
588. Ablemann v. Booth,1859 - Sherman Booth was sentenced to prison in a federal court for assisting in a fugitive slave's rescue in Milwaukee. He was released by the Wisconsin Supreme Court on the grounds that the Fugitive Slave Act was unconstitutional. The Supreme Court overturned this ruling. It upheld both the constitutionality of the Fugitive Slave Act and the supremacy of federal government over state government.
589. Webster's 7th of March Speech,"Daniel Webster
590. Nashville Convention,"Meeting twice in 1850
591. Henry Clay (1777-1852),"Clay helped heal the North/South rift by aiding passage of the Compromise of 1850
592. John C. Calhoun,"Formerly Jackson's vice-president
593. Underground Railroad,"A secret
594. Harriet Tubman (1821-1913),"A former escaped slave
"595. Uncle Tom's Cabin, Harriet Beecher Stowe"
596. Election of 1852: end of the Whig party,By this time the Whig party was so weakened that the Democrats swept Franklin Pierce into office by a huge margin. Eventually the Whigs became part of the new Republican party.
597. Perry and Japan,"Commodore Matthew Perry went to Japan to open trade between it and the U.S. In 1853
598. Ostend Manifesto,The recommendation that the U.S. offer Spain $20 million for Cuba. It was not carried through in part because the North feared Cuba would become another slave state.
599. Kansas - Nebraska Act,1854 - This act repealed the Missouri Compromise and established a doctrine of congressional nonintervention in the territories. Popular sovereignty (vote of the people) would determine whether Kansas and Nebraska would be slave or free states.
600. Birth of the Republican Party,"A coalition of the Free Soil Party
601. Stephen A. Douglas,"A moderate
602. Popular Sovereignty,"The doctrine that stated that the people of a territory had the right to decide their own laws by voting. In the Kansas-Nebraska Act
"603. Thirty-six, thirty line"
"604. Election of 1856: Republican Party, Know-Nothing Party"
"605. ""Bleeding Kansas""","Also known as the Kansas Border War. Following the passage of the Kansas-Nebraska Act
"606. Lawrence, Kansas"
"607. ""Beecher's Bibles""","During the Kansas border war
608. John Brown's Raid,"In 1859
609. Pottawatomie Massacre,John Brown let a part of six in Kansas that killed 5 pro-slavery men. This helped make the Kansas border war a national issue.
610. New England Emigrant Aid Company,Promoted anti-slavery migration to Kansas. The movement encouraged 2600 people to move.
611. Sumner-Brooks Affair,"1856 - Charles Sumner gave a two day speech on the Senate floor. He denounced the South for crimes against Kansas and singled out Senator Andrew Brooks of South Carolina for extra abuse. Brooks beat Sumner over the head with his cane
612. Lecompton Constitution,The pro-slavery constitution suggested for Kansas' admission to the union. It was rejected.
613. Dred Scott Decision,"A Missouri slave sued for his freedom
"614. Chief Justice Roger B. Taney (pronounced ""Tawny"")","As chief justice
615. Lincoln-Douglas debates of 1858 during Illinois Senatorial campaign,"A series of seven debates. The two argued the important issues of the day like popular sovereignty
616. Freeport Doctrine,"During the Lincoln-Douglas debates
617. Panic of 1857,Began with the failure of the Ohio Life Insurance Company and spread to the urban east. The depression affected the industrial east and the wheat belt more than the South.
"618. George Fitzhugh, Sociology for the South
"619. Hinton Helper, The Impending Crisis of the South"
"620. Lincoln's ""House Divided"" speech","In his acceptance speech for his nomination to the Senate in June
"621. John Brown, Harper's Ferry Raid"
"622. Election of 1860: candidates, parties
"623. Democratic Party Conventions: Baltimore, Charleston"
624. John Bell,"He was a moderate and wanted the union to stay together. After Southern states seceded from the Union
625. John Breckinridge (1821-1875),"Nominated by pro-slavers who had seceded from the Democratic convention
"626. Republican Party: 1860 platform, supporter
627. Buchanan and the Secession Crisis,"After Lincoln was elected
628. Crittenden Compromise proposal,"A desperate measure to prevent the Civil War
629. Border states,"States bordering the North: Delaware
630. South's advantages in the Civil War,"Large land areas with long coasts
631. North's advantages in the Civil War,"Larger numbers of troops
632. Fort Sumter,"Site of the opening engagement of the Civil War. On December 20
633. Bull Run,"At Bull Run
634. Monitor and the Merrimac,"First engagement ever between two iron-clad naval vessels. The two ships battled in a portion of the Cheasepeake Bay known as Hampton Roads for five hours on March 9
"635. Lee, Jackson"
"636. Grant, McClellan
"637. Vicksburg, Gettysburg
"638. Jefferson Davis, Alexander Stephens"
639. Northern blockade,"Starting in 1862
640. Cotton versus Wheat,Cotton was a cash crop and could be sold for large amounts of money. Wheat was mainly raised to feed farmers and their animals. The North had to choose which to grow.
641.Copperheads,"Lincoln believed that anti-war Northern Democrats harbored traitorous ideas and he labeled them ""Copperheads""
642. Congressman Clement L. Vallandigham,"An anti-war Democrat who criticized Lincoln as a dictator
643. Suspension of habeas corpus,"Lincoln suspended this writ
"644. Republican legislation passed in Congress after Southerners left: banking, tariff
645. Conscription draft riots,"The poor were drafted disproportionately
646. Emancipation Proclamation,"September 22
647. Charles Francis Adams,"Minister to Great Britain during the Civil War
"648. Great Britain: Trent, Alabama
"649. Election of 1864: candidates, parties"
650. Financing of the war effort by North and South,"The North was much richer than the South
651. Clara Barton,"Launched the American Red Cross in 1881. An ""angel"" in the Civil War
652. Lincoln's Ten Percent Plan,Former Confederate states would be readmitted to the Union if 10% of their citizens took a loyalty oath and the state agreed to ratify the 13th Amendment which outlawed slavery. Not put into effect because Lincoln was assassinated.
"653. Assassination of April 14, 1865"
654. John Wilkes Booth,"An actor
655. Ex Parte Milligan,1866 - Supreme Court ruled that military trials of civilians were illegal unless the civil courts are inoperative or the region is under marshall law.
656. Radical Republicans,"After the Civil War
"657. Wade-Davis Bill, veto
658. Joint Committee on Reconstruction (Committee of Fifteen),Six senators and nine representatives drafted the 14th Amendment and Reconstruction Acts. The purpose of the committee was to set the pace of Reconstruction. Most were radical Republicans.
659. Reconstruction Acts,"1867 - Pushed through congress over Johnson's veto
660. State suicide theory,"The Southern states had relinquished their rights when they seceded. This
661. Conquered territory theory,"Stated that conquered Southern states weren't part of the Union
662. The unreconstructed South,"The South's infrastructure had been destroyed - manufacturing had almost ceased. Few banks were solvent and in some areas starvation was imminent. General Sherman had virtually destroyed large areas on his ""march to the sea""."
663. Black codes,"Restrictions on the freedom of former slaves
664. Texas v. White,"1869 - Argued that Texas had never seceded because there is no provision in the Constitution for a state to secede
665. Thaddeus Stevens,A radical Republican who believed in harsh punishments for the South. Leader of the radical Republicans in Congress.
666. Charles Sumner,"The same Senator who had been caned by Brooks in 1856
667. Andrew Johnson (1808-1875),"A Southerner form Tennessee
668. Freedmen's Bureau,1865 - Agency set up to aid former slaves in adjusting themselves to freedom. It furnished food and clothing to needy blacks and helped them get jobs.
669. General Oliver O. Howard,Service as director of the Freedmen's Bureau.
670. Ku Klux Klan,"White-supremacist group formed by six former Conferedate officers after the Civil War. Name is essentially Greek for ""Circle of Friends"". Group eventually turned to terrorist attacks on blacks. The original Klan was disbanded in 1869
671. Civil Rights Act,1866 - Prohibited abridgement of rights of blacks or any other citizens.
672. Thirteenth Amendment,"1865 - Freed all slaves
673. Fourteenth Amendment and its provisions,"1866
674. Fifteenth Amendment,"Ratified 1870 - No one could be denied the right to vote on account of race
675. Tenure of Office Act,"1866 - Enacted by radical Congress
676. Impeachment,"To bring charges against a public official. Johnson was impeached
677. Chief Justice Chase,"Chief Justice in 1868
678. Secretary of War Stanton,"As Secretary of War
679. Scalawags,A derogatory term for Southerners who were working with the North to buy up land from desperate Southerners.
680. Carpetbaggers,A derogatory term applied to Northerners who migrated south during the Reconstruction to take advantage of opportunities to advance their own fortunes by buying up land from desperate Southerners and by manipulating new black voters to obtain lucrative government contracts.
681. Purchase of Alaska,"In December
682. Secretary of State William Seward,"1867 - An eager expansionist
683. Napoleon III,"Nephew of Napoleon Bonaparte
684. Maximillian in Mexico,"European prince appointed by Napoleon III of France to lead the new government set up in Mexico. After the Civil War
685. Monroe Doctrine,"1823 - Declared that Europe should not interfere in the affairs of the Western Hemisphere and that any attempt at interference by a European power would be seen as a threat to the U.S. It also declared that a New World colony which has gained independence may not be recolonized by Europe. (It was written at a time when many South American nations were gaining independence). Only England
686. Ulysses S. Grant,"U.S. president 1873-1877. Military hero of the Civil War
687. Treaty of Washington,1871 - Settled the Northern claims between the U.S. and Great Britain. Canada gave the U.S. permanent fishing rights to the St. Lawrence River.
688. Secretary of State Hamilton Fish,"A member of the Grant administration
"689. Election of 1872: Liberal Republicans, Horace Greeley"
690. Election of 1876: Hayes and Tilden,"Rutherford B. Hayes - liberal Republican
691. Compromise of 1877 provisions,Hayes promised to show concern for Southern interests and end Reconstruction in exchange for the Democrats accepting the fraudulent election results. He took Union troops out of the South.
692. Solid South,"Term applied to the one-party (Democrat) system of the South following the Civil War. For 100 years after the Civil War
"693. Sharecropping, Crop Lien System"
694. Segregation,"The separation of blacks and whites
695. Hiram R. Revels,"North Carolina free black
696. Blanche K. Bruce,Became a senator in 1874 -- the only black to be elected to a full term until Edward Brooke in 1966.
697. Prigg v. Pennsylvania,"1842 - A slave had escaped from Maryland to Pennsylvania
698. Dred Scott v. Sandford,"A Missouri slave sued for his freedom
699. Ablemann v. Booth,1859 - Sherman Booth was sentenced to prison in a federal court for assisting in a fugitive slave's rescue in Milwaukee. He was released by the Wisconsin Supreme Court on the grounds that the Fugitive Slave Act was unconstitutional. The Supreme Court overturned this ruling. It upheld both the constitutionality of the Fugitive Slave Act and the supremacy of federal government over state government.
700. Mississippi v. Johnson,Mississippi wanted the president to stop enforcing the Reconstruction Acts because they were unconstitutional. The Supreme Court decided that the Acts were constitutional and the states must obey them.
701. Texas v. White,"1869 - Argued that Texas had never seceded because there is no provision in the Constitution for a state to secede
702. Ulysses S. Grant,"U.S. president 1873-1877. Military hero of the Civil War
703. Whiskey Ring,"During the Grant administration
"704. ""Waving the bloody shirt""",The practice of reviving unpleasant memories from the past. Representative Ben F. Butler waved before the House a bloodstained nightshirt of a carpetbagger flogged by Klan members.
"705. Liberal Republicans: Carl Schurz, Horace Greeley"
"706. Panic of 1873, depression"
"707. Election of 1876: candidates, electoral commission"
708. Compromise of 1877,Hayes promised to show concern for Southern interests and end Reconstruction in exchange for the Democrats accepting the fraudulent election results. He took Union troops out of the South.
709. Greenbacks,"Name given to paper money issued by the government during the Civil War
710. Ohio Idea,1867 - Senator George H. Pendleton proposed an idea that Civil War bonds be redeemed with greenbacks. It was not adopted.
711. Legal Tender cases,The Supreme Court debated whether it was constitutional for the federal government to print paper money (greenbacks).
712. Species Resumption Act,"1879 - Congress said that greenbacks were redeemable for gold
713. Greenbacks - Labor Party,"Founded in 1878
714. Pendleton Civil Service Act,1883 - The first federal regulatory commission. Office holders would be assessed on a merit basis to be sure they were fit for duty. Brought about by the assassination of Garfield by an immigrant who was angry about being unable to get a government job. The assassination raised questions about how people should be chosen for civil service jobs.
715. Chester A. Arthur,"Appointed customs collector for the port of New York - corrupt and implemented a heavy spoils system. He was chosen as Garfield's running mate. Garfield won but was shot
"716. Election of 1884: James G. Blaine, Grover Cleveland"
717. Stalwarts,Republicans fighting for civil service reform during Garfield's term; they supported Cleveland.
718. Roscoe Conkling (1829-1888),A Stalwart leader and part of the political machine.
719. Half-breeds,"Favored tariff reform and social reform
720. Mugwumps,"Republicans who changed their vote during the 1884 election from Blaine to Cleveland. Mugwump is the Algonquin Indian word for ""chief"" and was used in a N.Y. Sun editorial to criticize the arrogance of the renegade Republicans."
"721. ""Rum, Romanism
722. High tariffs,"Levied against imported and manufactured goods
723. Treasury surplus,"During the Reconstruction
"724. Pensions, Garfield"
